ticket_id,created_at,resolved_at,category,priority,channel,assigned_team,resolution_minutes,sla_minutes,sla_breached
TKT-100000,2024-04-12 15:14:00,2024-04-12 19:47:34,Software Install,P1,Email,Service Desk,273.58,240,1
TKT-100001,2024-11-26 12:52:00,2024-11-26 17:55:02,Microsoft 365,P3,Chat,Service Desk,303.04,1440,0
TKT-100002,2024-07-10 17:32:00,2024-07-10 21:27:21,VPN,P1,Phone,Service Desk,235.37,240,0
TKT-100003,2024-02-28 11:27:00,2024-02-28 12:26:48,Password Reset,P2,Portal,Service Desk,59.81,480,0
TKT-100004,2025-05-19 08:50:00,2025-05-19 09:00:00,Access Request,P3,Portal,Service Desk,10.0,1440,0
TKT-100005,2024-12-11 09:19:00,2024-12-11 21:03:18,Printer,P3,Email,Service Desk,704.3,1440,0
TKT-100006,2024-02-04 16:35:00,2024-02-04 18:43:45,Other,P3,Phone,Service Desk,128.77,1440,0
TKT-100007,2025-04-21 17:25:00,2025-04-22 02:22:44,Printer,P3,Portal,Network,537.74,1440,0
TKT-100008,2024-09-27 09:22:00,2024-09-28 02:55:02,WiFi/Network,P4,Email,EU Support,1053.04,2880,0
TKT-100009,2024-02-22 13:24:00,2024-02-22 22:06:55,Printer,P3,Chat,EU Support,522.92,1440,0
TKT-100010,2024-03-05 08:08:00,2024-03-05 10:56:39,Microsoft 365,P1,Phone,Service Desk,168.66,240,0
TKT-100011,2024-10-15 14:41:00,2024-10-15 17:07:52,Password Reset,P3,Phone,Service Desk,146.87,1440,0
TKT-100012,2024-02-02 09:22:00,2024-02-02 10:57:48,Software Install,P3,Email,Service Desk,95.82,1440,0
TKT-100013,2025-06-30 12:36:00,2025-07-01 02:35:50,Access Request,P4,Portal,EU Support,839.84,2880,0
TKT-100014,2025-04-05 11:31:00,2025-04-05 21:32:01,Access Request,P3,Phone,Service Desk,601.03,1440,0
TKT-100015,2025-02-10 14:14:00,2025-02-10 19:35:48,Other,P3,Portal,EU Support,321.81,1440,0
TKT-100016,2024-03-26 16:41:00,2024-03-27 10:02:31,Printer,P4,Phone,Service Desk,1041.53,2880,0
TKT-100017,2025-07-09 12:10:00,2025-07-09 20:20:20,Email/Outlook,P3,Phone,Security,490.33,1440,0
TKT-100018,2025-01-19 11:56:00,2025-01-19 14:21:16,Account Lockout,P3,Portal,Service Desk,145.27,1440,0
TKT-100019,2025-10-10 12:32:00,2025-10-10 14:27:50,Account Lockout,P3,Email,Service Desk,115.84,1440,0
TKT-100020,2025-08-30 13:51:00,2025-08-30 14:12:01,Hardware,P3,Portal,Apps,21.02,1440,0
TKT-100021,2025-09-16 17:58:00,2025-09-17 03:16:38,VPN,P2,Chat,Service Desk,558.65,480,1
TKT-100022,2024-05-09 13:25:00,2024-05-09 14:51:59,Password Reset,P1,Phone,EU Support,87.0,240,0
